date,rank,id,symbol,name,slug,price
2024-Jan-20 21:19:52,1,1,BTC,Bitcoin,bitcoin,3455403.4100246066
2024-Jan-20 21:19:52,2,1027,ETH,Ethereum,ethereum,204987.93109469875
2024-Jan-20 21:19:52,3,825,USDT,Tether USDt,tether,83.0703890193246
2024-Jan-20 21:19:52,4,1839,BNB,BNB,bnb,26116.62339922659
2024-Jan-20 21:19:52,5,5426,SOL,Solana,solana,7576.034157285445
2024-Jan-20 21:19:52,6,52,XRP,XRP,xrp,45.56607468366056
2024-Jan-20 21:19:52,7,3408,USDC,USDC,usd-coin,83.13067611646889
2024-Jan-20 21:19:52,8,2010,ADA,Cardano,cardano,42.49400502845733
2024-Jan-20 21:19:52,9,5805,AVAX,Avalanche,avalanche,2704.2870174999985
2024-Jan-20 21:19:52,10,74,DOGE,Dogecoin,dogecoin,6.592037650903966
2024-Jan-20 21:19:52,11,1958,TRX,TRON,tron,9.143342540066993
2024-Jan-20 21:19:52,12,1975,LINK,Chainlink,chainlink,1314.2121730447861
2024-Jan-20 21:19:52,13,6636,DOT,Polkadot,polkadot-new,570.4285532257171
2024-Jan-20 21:19:52,14,11419,TON,Toncoin,toncoin,185.99946518221864
2024-Jan-20 21:19:52,15,3890,MATIC,Polygon,polygon,64.48673937964001
2024-Jan-20 21:20:53,1,1,BTC,Bitcoin,bitcoin,3455927.7964749937
2024-Jan-20 21:20:53,2,1027,ETH,Ethereum,ethereum,205005.7568344379
2024-Jan-20 21:20:53,3,825,USDT,Tether USDt,tether,83.06877498586873
2024-Jan-20 21:20:53,4,1839,BNB,BNB,bnb,26117.95134295322
2024-Jan-20 21:20:53,5,5426,SOL,Solana,solana,7579.816566962015
2024-Jan-20 21:20:53,6,52,XRP,XRP,xrp,45.574981676925454
2024-Jan-20 21:20:53,7,3408,USDC,USDC,usd-coin,83.13016283698146
2024-Jan-20 21:20:53,8,2010,ADA,Cardano,cardano,42.49912616871986
2024-Jan-20 21:20:53,9,5805,AVAX,Avalanche,avalanche,2704.4378176593723
2024-Jan-20 21:20:53,10,74,DOGE,Dogecoin,dogecoin,6.593535704982198
2024-Jan-20 21:20:53,11,1958,TRX,TRON,tron,9.144787234267719
2024-Jan-20 21:20:53,12,1975,LINK,Chainlink,chainlink,1314.4148035626813
2024-Jan-20 21:20:53,13,6636,DOT,Polkadot,polkadot-new,570.8044461719182
2024-Jan-20 21:20:53,14,11419,TON,Toncoin,toncoin,185.99946518221864
2024-Jan-20 21:20:53,15,3890,MATIC,Polygon,polygon,64.49997583873754
2024-Jan-20 21:22:50,1,1,BTC,Bitcoin,bitcoin,3456319.0219977084
2024-Jan-20 21:22:50,2,1027,ETH,Ethereum,ethereum,205018.2355845831
2024-Jan-20 21:22:50,3,825,USDT,Tether USDt,tether,83.06533722470726
2024-Jan-20 21:22:50,4,1839,BNB,BNB,bnb,26120.300691654098
2024-Jan-20 21:22:50,5,5426,SOL,Solana,solana,7580.459646933962
2024-Jan-20 21:22:50,6,52,XRP,XRP,xrp,45.57606281085561
2024-Jan-20 21:22:50,7,3408,USDC,USDC,usd-coin,83.14108867175752
2024-Jan-20 21:22:50,8,2010,ADA,Cardano,cardano,42.50831152792377
2024-Jan-20 21:22:50,9,5805,AVAX,Avalanche,avalanche,2705.3569033821313
2024-Jan-20 21:22:50,10,74,DOGE,Dogecoin,dogecoin,6.594384414372439
2024-Jan-20 21:22:50,11,1958,TRX,TRON,tron,9.147117479914305
2024-Jan-20 21:22:50,12,1975,LINK,Chainlink,chainlink,1314.8044751222283
2024-Jan-20 21:22:50,13,6636,DOT,Polkadot,polkadot-new,571.1744750167111
2024-Jan-20 21:22:50,14,11419,TON,Toncoin,toncoin,186.02477830504148
2024-Jan-20 21:22:50,15,3890,MATIC,Polygon,polygon,64.5199167031047
2024-Jan-20 21:23:52,1,1,BTC,Bitcoin,bitcoin,3452648.13300876
2024-Jan-20 21:23:52,2,1027,ETH,Ethereum,ethereum,204768.8518079841
2024-Jan-20 21:23:52,3,825,USDT,Tether USDt,tether,83.08745090603921
2024-Jan-20 21:23:52,4,1839,BNB,BNB,bnb,26099.451878489162
2024-Jan-20 21:23:52,5,5426,SOL,Solana,solana,7580.649139221482
2024-Jan-20 21:23:52,6,52,XRP,XRP,xrp,45.56819304195918
2024-Jan-20 21:23:52,7,3408,USDC,USDC,usd-coin,83.11649128557272
2024-Jan-20 21:23:52,8,2010,ADA,Cardano,cardano,42.49021254284892
2024-Jan-20 21:23:52,9,5805,AVAX,Avalanche,avalanche,2706.5785511769145
2024-Jan-20 21:23:52,10,74,DOGE,Dogecoin,dogecoin,6.593519017038315
2024-Jan-20 21:23:52,11,1958,TRX,TRON,tron,9.146734355452416
2024-Jan-20 21:23:52,12,1975,LINK,Chainlink,chainlink,1314.5011372985157
2024-Jan-20 21:23:52,13,6636,DOT,Polkadot,polkadot-new,571.1920005253486
2024-Jan-20 21:23:52,14,11419,TON,Toncoin,toncoin,185.9010050073279
2024-Jan-20 21:23:52,15,3890,MATIC,Polygon,polygon,64.5026004578539
2024-Jan-20 21:24:56,1,1,BTC,Bitcoin,bitcoin,3452635.3836095994
2024-Jan-20 21:24:56,2,1027,ETH,Ethereum,ethereum,204782.0849233582
2024-Jan-20 21:24:56,3,825,USDT,Tether USDt,tether,83.06290191671924
2024-Jan-20 21:24:56,4,1839,BNB,BNB,bnb,26092.152109076666
2024-Jan-20 21:24:56,5,5426,SOL,Solana,solana,7579.950438308804
2024-Jan-20 21:24:56,6,52,XRP,XRP,xrp,45.56892491786633
2024-Jan-20 21:24:56,7,3408,USDC,USDC,usd-coin,83.12001190428536
2024-Jan-20 21:24:56,8,2010,ADA,Cardano,cardano,42.48423391674309
2024-Jan-20 21:24:56,9,5805,AVAX,Avalanche,avalanche,2706.4734756544303
2024-Jan-20 21:24:56,10,74,DOGE,Dogecoin,dogecoin,6.593113106106607
2024-Jan-20 21:24:56,11,1958,TRX,TRON,tron,9.145833520156717
2024-Jan-20 21:24:56,12,1975,LINK,Chainlink,chainlink,1314.307616538158
2024-Jan-20 21:24:56,13,6636,DOT,Polkadot,polkadot-new,571.209394933993
2024-Jan-20 21:24:56,14,11419,TON,Toncoin,toncoin,185.87734563243905
2024-Jan-20 21:24:56,15,3890,MATIC,Polygon,polygon,64.49477645474515
2024-Jan-20 21:25:58,1,1,BTC,Bitcoin,bitcoin,3453055.959429306
2024-Jan-20 21:25:58,2,1027,ETH,Ethereum,ethereum,204803.2187807935
